dbn,school_name,beds,location_name,ncessch,combokey
24Q550,High School for Arts and Business,342400011550,High School for Arts and Business,360009803154,362058003154
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",342400011560,"Robert F. Wagner, Jr. Secondary School for Arts an",360009801791,362058001791
24Q585,Maspeth High School,342400011585,Maspeth High School,360009806278,362058099947
24Q600,Queens Vocational and Technical High School,342400011600,Queens Vocational and Technical High School,360009802860,362058002860
24Q610,Aviation Career & Technical Education High School,342400011610,Aviation Career & Technical Education High School,360009801915,362058001915
24Q744,VOYAGES Preparatory,342400011744,VOYAGES Preparatory,360009806066,362058006066
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),342400010877,The 51 Avenue Academy (The Path To Academic Excell,360009805726,362058005726
25Q020,P.S. 020 John Bowne,342500010020,P.S. 020 John Bowne,360012202105,362058002105
25Q021,P.S. 021 Edward Hart,342500010021,P.S. 021 Edward Hart,360012202109,362058002109
25Q022,P.S. 022 Thomas Jefferson,342500010022,P.S. 022 Thomas Jefferson,360012202115,362058002115
25Q024,P.S. 024 Andrew Jackson,342500010024,P.S. 024 Andrew Jackson,360012202119,362058002119
25Q025,I.S. 025 Adrien Block,342500010025,I.S. 025 Adrien Block,360012201969,362058001969
25Q029,P.S. 029 Queens,342500010029,P.S. 029 Queens,360012202136,362058002136
25Q032,P.S. 032 State Street,342500010032,P.S. 032 State Street,360012202148,362058002148
25Q079,P.S. 079 Francis Lewis,342500010079,P.S. 079 Francis Lewis,360012202314,362058002314
25Q107,P.S. 107 Thomas A Dooley,342500010107,P.S. 107 Thomas A Dooley,360012202402,362058002402
25Q120,P.S. 120 Queens,342500010120,P.S. 120 Queens,360012202444,362058002444
25Q129,P.S. 129 Patricia Larkin,342500010129,P.S. 129 Patricia Larkin,360012202476,362058002476
25Q130,P.S. 130,342500010130,P.S. 130,360012204610,362058004610
25Q154,P.S. 154 Queens,342500010154,P.S. 154 Queens,360012202555,362058002555
25Q163,P.S. 163 Flushing Heights,342500010163,P.S. 163 Flushing Heights,360012202586,362058002586
25Q164,P.S. 164 Queens Valley,342500010164,P.S. 164 Queens Valley,360012202589,362058002589
25Q165,P.S. 165 Edith K. Bergtraum,342500010165,P.S. 165 Edith K. Bergtraum,360012202592,362058002592
25Q169,P.S. 169 Bay Terrace,342500010169,P.S. 169 Bay Terrace,360012202600,362058002600
25Q184,P.S. 184 Flushing Manor,342500010184,P.S. 184 Flushing Manor,360012202637,362058002637
25Q185,J.H.S. 185 Edward Bleeker,342500010185,J.H.S. 185 Edward Bleeker,360012202639,362058002639
25Q189,J.H.S. 189 Daniel Carter Beard,342500010189,J.H.S. 189 Daniel Carter Beard,360012202650,362058002650
25Q193,P.S. 193 Alfred J. Kennedy,342500010193,P.S. 193 Alfred J. Kennedy,360012202661,362058002661
25Q194,J.H.S. 194 William Carr,342500010194,J.H.S. 194 William Carr,360012202664,362058002664
25Q200,PS/MS 200 - The Pomonok School & STAR Academy,342500010200,PS/MS 200 - The Pomonok School & STAR Academy,360012202681,362058002681
25Q201,P.S. 201 The Discovery School for Inquiry and Research,342500010201,P.S. 201 The Discovery School for Inquiry and Rese,360012202683,362058002683
25Q209,P.S. 209 Clearview Gardens,342500010209,P.S. 209 Clearview Gardens,360012202703,362058002703
25Q214,P.S. 214 Cadwallader Colden,342500010214,P.S. 214 Cadwallader Colden,360012202711,362058002711
25Q219,P.S. 219 Paul Klapper,342500010219,P.S. 219 Paul Klapper,360012202722,362058002722
25Q237,I.S. 237,342500010237,I.S. 237,360012201996,362058001996
25Q240,Veritas Academy,342500011240,Veritas Academy,360012206434,362058099810
25Q241,Queens High School for Language Studies,342500011241,Queens High School for Language Studies,360012206435,362058099815
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,342500010242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,360012204892,362058004892
25Q244,The Active Learning Elementary School,342500010244,The Active Learning Elementary School,360012206032,362058006032
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,342500010250,I.S. 250 The Robert F. Kennedy Community Middle Sc,360012200249,362058000249
25Q252,"Queens School of Inquiry, The",342500011252,"Queens School of Inquiry, The",360012205830,362058005830
25Q263,Flushing International High School,342500011263,Flushing International High School,360012205727,362058005727
25Q281,East-West School of International Studies,342500011281,East-West School of International Studies,360012205879,362058005879
25Q285,World Journalism Preparatory: A College Board School,342500011285,World Journalism Preparatory: A College Board Scho,360012205869,362058005869
25Q294,BELL Academy,342500010294,BELL Academy,360012205979,362058005979
25Q425,John Bowne High School,342500011425,John Bowne High School,360012202014,362058002014
25Q460,Flushing High School,342500011460,Flushing High School,360012201950,362058001950
